building_id,month,excel_kwh
B620,2026-11,0.0
B620,2026-12,0.0
B621,2026-01,0.0
B621,2026-02,0.0
B621,2026-03,0.0
B621,2026-04,0.0
B621,2026-05,0.0
B621,2026-06,0.0
B621,2026-07,0.0
B621,2026-08,0.0
B621,2026-09,0.0
B621,2026-10,0.0
B621,2026-11,0.0
B621,2026-12,0.0
B622,2026-01,0.0
B622,2026-02,0.0
B622,2026-03,0.0
B622,2026-04,0.0
B622,2026-05,0.0
B622,2026-06,0.0
B622,2026-07,0.0
B622,2026-08,0.0
B622,2026-09,0.0
B622,2026-10,0.0
B622,2026-11,0.0
B622,2026-12,0.0
B623,2026-01,0.0
B623,2026-02,0.0
B623,2026-03,0.0
B623,2026-04,0.0
B623,2026-05,0.0
B623,2026-06,0.0
B623,2026-07,0.0
B623,2026-08,0.0
B623,2026-09,0.0
B623,2026-10,0.0
B623,2026-11,0.0
B623,2026-12,0.0
B625,2026-01,3648.8589999999967
B625,2026-02,3030.9379999999946
B625,2026-03,6265.858999999997
B625,2026-04,180.39100000000326
B625,2026-05,0.0
B625,2026-06,0.0
B625,2026-07,0.0
B625,2026-08,0.0
B625,2026-09,0.0
B625,2026-10,0.0
B625,2026-11,0.0
B625,2026-12,0.0
B631,2026-01,0.0
B631,2026-02,0.0
B631,2026-03,0.0
B631,2026-04,0.0
B631,2026-05,0.0
B631,2026-06,0.0
B631,2026-07,0.0
B631,2026-08,0.0
B631,2026-09,0.0
B631,2026-10,0.0
B631,2026-11,0.0
B631,2026-12,0.0
B634,2026-01,0.0
B634,2026-02,0.0
B634,2026-03,0.0
B634,2026-04,0.0
B634,2026-05,0.0
B634,2026-06,0.0
B634,2026-07,0.0
B634,2026-08,0.0
B634,2026-09,0.0
B634,2026-10,0.0
B634,2026-11,0.0
B634,2026-12,0.0
B637,2026-01,0.0
B637,2026-02,0.0
B637,2026-03,0.0
B637,2026-04,0.0
B637,2026-05,0.0
B637,2026-06,0.0
B637,2026-07,0.0
B637,2026-08,0.0
B637,2026-09,0.0
B637,2026-10,0.0
B637,2026-11,0.0
B637,2026-12,0.0
B638,2026-01,0.0
B638,2026-02,0.0
B638,2026-03,0.0
B638,2026-04,0.0
B638,2026-05,0.0
B638,2026-06,0.0
B638,2026-07,0.0
B638,2026-08,0.0
B638,2026-09,0.0
B638,2026-10,0.0
B638,2026-11,0.0
B638,2026-12,0.0
B641,2026-01,0.0
B641,2026-02,0.0
B641,2026-03,0.0
B641,2026-04,0.0
B641,2026-05,0.0
B641,2026-06,0.0
B641,2026-07,0.0
B641,2026-08,0.0
B641,2026-09,0.0
B641,2026-10,0.0
B641,2026-11,0.0
B641,2026-12,0.0
B642,2026-01,0.0
B642,2026-02,0.0
B642,2026-03,0.0
B642,2026-04,0.0
B642,2026-05,0.0
B642,2026-06,0.0
B642,2026-07,0.0
B642,2026-08,0.0
B642,2026-09,0.0
B642,2026-10,0.0
B642,2026-11,0.0
B642,2026-12,0.0
B643,2026-01,0.0
B643,2026-02,0.0
B643,2026-03,0.0
B643,2026-04,0.0
B643,2026-05,0.0
B643,2026-06,0.0
B643,2026-07,0.0
B643,2026-08,0.0
B643,2026-09,0.0
B643,2026-10,0.0
B643,2026-11,0.0
B643,2026-12,0.0
B649,2026-01,0.0
B649,2026-02,0.0
B649,2026-03,0.0
B649,2026-04,0.0
B649,2026-05,0.0
B649,2026-06,0.0
B649,2026-07,0.0
B649,2026-08,0.0
B649,2026-09,0.0
B649,2026-10,0.0
B649,2026-11,0.0
B649,2026-12,0.0
B650,2026-01,0.0
B650,2026-02,0.0
B650,2026-03,0.0
B650,2026-04,0.0
B650,2026-05,0.0
B650,2026-06,0.0
B650,2026-07,0.0
B650,2026-08,0.0
B650,2026-09,0.0
B650,2026-10,0.0
B650,2026-11,0.0
B650,2026-12,0.0
B651,2026-01,0.0
B651,2026-02,0.0
B651,2026-03,0.0
B651,2026-04,0.0
B651,2026-05,0.0
B651,2026-06,0.0
B651,2026-07,0.0
B651,2026-08,0.0
B651,2026-09,0.0
B651,2026-10,0.0
B651,2026-11,0.0
B651,2026-12,0.0
B652,2026-01,0.0
B652,2026-02,0.0
B652,2026-03,0.0
B652,2026-04,0.0
B652,2026-05,0.0
B652,2026-06,0.0
B652,2026-07,0.0
B652,2026-08,0.0
B652,2026-09,0.0
B652,2026-10,0.0
B652,2026-11,0.0
B652,2026-12,0.0
B653,2026-01,0.0
B653,2026-02,0.0
B653,2026-03,0.0
B653,2026-04,0.0
B653,2026-05,0.0
B653,2026-06,0.0
B653,2026-07,0.0
B653,2026-08,0.0
B653,2026-09,0.0
B653,2026-10,0.0
B653,2026-11,0.0
B653,2026-12,0.0
B654,2026-01,0.0
B655,2026-01,0.0
B655,2026-02,0.0
B655,2026-03,0.0
B655,2026-04,0.0
B655,2026-05,0.0
B655,2026-06,0.0
B655,2026-07,0.0
B655,2026-08,0.0
B655,2026-09,0.0
B655,2026-10,0.0
B655,2026-11,0.0
B655,2026-12,0.0
B656,2026-01,0.0
B656,2026-02,0.0
B656,2026-03,0.0
B656,2026-04,0.0
B656,2026-05,0.0
B656,2026-06,0.0
B656,2026-07,0.0
B656,2026-08,0.0
B656,2026-09,0.0
B656,2026-10,0.0
B656,2026-11,0.0
B656,2026-12,0.0
B658,2026-01,0.0
B658,2026-02,0.0
B658,2026-03,0.0
B658,2026-04,0.0
B658,2026-05,0.0
B658,2026-06,0.0
B658,2026-07,0.0
B658,2026-08,0.0
B658,2026-09,0.0
B658,2026-10,0.0
B658,2026-11,0.0
B658,2026-12,0.0
B659,2026-01,0.0
B660,2026-01,0.0
B660,2026-02,0.0
B660,2026-03,0.0
B660,2026-04,0.0
B660,2026-05,0.0
B660,2026-06,0.0
B660,2026-07,0.0
B660,2026-08,0.0
B660,2026-09,0.0
B660,2026-10,0.0
B660,2026-11,0.0
B660,2026-12,0.0
B661,2026-01,0.0
B662,2026-01,0.0
B662,2026-02,0.0
B662,2026-03,0.0
B662,2026-04,0.0
B662,2026-05,0.0
B662,2026-06,0.0
B662,2026-07,0.0
B662,2026-08,0.0
B662,2026-09,0.0
B662,2026-10,0.0
B662,2026-11,0.0
B662,2026-12,0.0
B663,2026-01,0.0
B663,2026-02,0.0
B663,2026-03,0.0
B663,2026-04,0.0
B663,2026-05,0.0
B663,2026-06,0.0
B663,2026-07,0.0
B663,2026-08,0.0
B663,2026-09,0.0
B663,2026-10,0.0
B663,2026-11,0.0
B663,2026-12,0.0
B664,2026-01,0.0
B664,2026-02,0.0
B664,2026-03,0.0
B664,2026-04,0.0
B664,2026-05,0.0
B664,2026-06,0.0
B664,2026-07,0.0
B664,2026-08,0.0
B664,2026-09,0.0
B664,2026-10,0.0
B664,2026-11,0.0
B664,2026-12,0.0
B665,2026-01,0.0
B665,2026-02,0.0
B665,2026-03,0.0
B665,2026-04,0.0
B665,2026-05,0.0
B665,2026-06,0.0
B665,2026-07,0.0
B665,2026-08,0.0
B665,2026-09,0.0
B665,2026-10,0.0
B665,2026-11,0.0
B665,2026-12,0.0
B674,2026-01,0.0
B674,2026-02,0.0
B674,2026-03,0.0
B674,2026-04,0.0
B674,2026-05,0.0
B674,2026-06,0.0
B674,2026-07,0.0
B674,2026-08,0.0
B674,2026-09,0.0
B674,2026-10,0.0
B674,2026-11,0.0
B674,2026-12,0.0
B682,2026-01,0.0
B682,2026-02,0.0
B682,2026-03,0.0
B682,2026-04,0.0
B682,2026-05,0.0
B682,2026-06,0.0
B682,2026-07,0.0
B682,2026-08,0.0
B682,2026-09,0.0
B682,2026-10,0.0
B682,2026-11,0.0
B682,2026-12,0.0
B821,2026-01,0.0
B821,2026-02,0.0
B821,2026-03,0.0
B821,2026-04,0.0
B821,2026-05,0.0
B821,2026-06,0.0
B821,2026-07,0.0
B821,2026-08,0.0
B821,2026-09,0.0
B821,2026-10,0.0
B821,2026-11,0.0
B821,2026-12,0.0
B833,2026-01,0.0
B833,2026-02,0.0
B833,2026-03,0.0
B833,2026-04,0.0
B833,2026-05,0.0
B833,2026-06,0.0
B833,2026-07,0.0
B833,2026-08,0.0
B833,2026-09,0.0
B833,2026-10,0.0
B833,2026-11,0.0
B833,2026-12,0.0
B834,2026-01,0.0
B834,2026-02,0.0
B834,2026-03,0.0
B834,2026-04,0.0
B834,2026-05,0.0
B834,2026-06,0.0
B834,2026-07,0.0
B834,2026-08,0.0
B834,2026-09,0.0
B834,2026-10,0.0
B834,2026-11,0.0
B834,2026-12,0.0
B841,2026-01,0.0
B841,2026-02,0.0
B841,2026-03,0.0
B841,2026-04,0.0
B841,2026-05,0.0
B841,2026-06,0.0
B841,2026-07,0.0
B841,2026-08,0.0
B841,2026-09,0.0
B841,2026-10,0.0
B841,2026-11,0.0
B841,2026-12,0.0
B842,2026-01,0.0
B842,2026-02,0.0
B842,2026-03,0.0
B842,2026-04,0.0
B842,2026-05,0.0
B842,2026-06,0.0
B842,2026-07,0.0
B842,2026-08,0.0
B842,2026-09,0.0
B842,2026-10,0.0
B842,2026-11,0.0
B842,2026-12,0.0
B850,2026-01,0.0
B850,2026-02,0.0
B850,2026-03,0.0
B850,2026-04,0.0
B850,2026-05,0.0
B850,2026-06,0.0
B850,2026-07,0.0
B850,2026-08,0.0
B850,2026-09,0.0
B850,2026-10,0.0
B850,2026-11,0.0
B850,2026-12,0.0
B869,2026-01,0.0
B869,2026-02,0.0
B869,2026-03,0.0
B869,2026-04,0.0
B869,2026-05,0.0
B869,2026-06,0.0
B869,2026-07,0.0
B869,2026-08,0.0
B869,2026-09,0.0
B869,2026-10,0.0
B869,2026-11,0.0
B869,2026-12,0.0
B921,2026-01,0.0
B921,2026-02,0.0
B921,2026-03,0.0
B921,2026-04,0.0
B921,2026-05,0.0
B921,2026-06,0.0
B921,2026-07,0.0
B921,2026-08,0.0
B921,2026-09,0.0
B921,2026-10,0.0
B921,2026-11,0.0
B921,2026-12,0.0
