facit_id,snowflake_id,strux_id,excel_used,confidence,evidence
B313.KV1_VMM22_V,B313.KV1_VM22_V,B313.KV1_VM22_V,yes,high,snowflake 'B313.KV1_VM22_V' (STRUX exact); STRUX 'B313.KV1_VM22_V'; excel Kallvatten roles=add|sub buildings=310|313|314
B314.KV1_VMM21_V,B314.KV1_VM21_V,B314.KV1_VM21_V,yes,high,snowflake 'B314.KV1_VM21_V' (STRUX exact); STRUX 'B314.KV1_VM21_V'; excel Kallvatten roles=add buildings=314
B314.KV1_VMM22_V,B314.KV1_VM22_V,B314.KV1_VM22_V,yes,high,snowflake 'B314.KV1_VM22_V' (STRUX exact); STRUX 'B314.KV1_VM22_V'; excel Kallvatten roles=add|sub buildings=310|314
B315.KV1_VMM21_V,B315.KV1_VM21_V,B315.KV1_VM21_V,yes,high,snowflake 'B315.KV1_VM21_V' (STRUX exact); STRUX 'B315.KV1_VM21_V'; excel Kallvatten roles=add|sub buildings=310|311|314|315
B317.KV1_VMM21_V,B317.KV1_VM21_V,B317.KV1_VM21_V,yes,high,snowflake 'B317.KV1_VM21_V' (STRUX exact); STRUX 'B317.KV1_VM21_V'; excel Kallvatten roles=add|sub buildings=311|317
B317.KV1_VMM22_V,B317.KV1_VM22_V,B317.KV1_VM22_V,yes,high,snowflake 'B317.KV1_VM22_V' (STRUX exact); STRUX 'B317.KV1_VM22_V'; excel Kallvatten roles=add|sub buildings=311|317
B317.KV1_VMM23_V,B317.KV1_VM23_V,B317.KV1_VM23_V,yes,high,snowflake 'B317.KV1_VM23_V' (STRUX exact); STRUX 'B317.KV1_VM23_V'; excel Kallvatten roles=add|sub buildings=311|317
B317.KV1_VMM25_V,B317.KV1_VM25_V,B317.KV1_VM25_V,yes,high,snowflake 'B317.KV1_VM25_V' (STRUX exact); STRUX 'B317.KV1_VM25_V'; excel Kallvatten roles=add|sub buildings=311|317
B318.KV1_VMM21_V,B318.KV1_VM21_V,B318.KV1_VM21_V,yes,high,snowflake 'B318.KV1_VM21_V' (STRUX exact); STRUX 'B318.KV1_VM21_V'; excel Kallvatten roles=add|sub buildings=318|339
B319.KV1_VMM21,B319.KV1_VM21,B319.KV1_VM21,yes,high,snowflake 'B319.KV1_VM21' (STRUX exact); STRUX 'B319.KV1_VM21'; excel Kallvatten roles=add|sub buildings=318|319
B325.KV1_VMM23_V,B325.KV1_VM23_V,B325.KV1_VM23_V,yes,high,snowflake 'B325.KV1_VM23_V' (STRUX exact); STRUX 'B325.KV1_VM23_V'; excel Kallvatten roles=add buildings=325
B326.KV1_VMM21,B326.KV1_VM21,B326.KV1_VM21,yes,high,snowflake 'B326.KV1_VM21' (STRUX exact); STRUX 'B326.KV1_VM21'; excel Kallvatten roles=add|sub buildings=326|327
B327.KV1_VMM21_V,B327.KV1_VM21_V,B327.KV1_VM21_V,yes,high,snowflake 'B327.KV1_VM21_V' (STRUX exact); STRUX 'B327.KV1_VM21_V'; excel Kallvatten roles=add buildings=327
B330.KV1_VMM21_V,B330.KV1_VM21_V,B330.KV1_VM21_V,no,high,snowflake 'B330.KV1_VM21_V' (STRUX exact); STRUX 'B330.KV1_VM21_V'; not used in Excel
B330.KV1_VMM22_V,B330.KV1_VM22_V,B330.KV1_VM22_V,no,high,snowflake 'B330.KV1_VM22_V' (STRUX exact); STRUX 'B330.KV1_VM22_V'; not used in Excel
B330.KV1_VMM23_V,B330.KV1_VM23_V,B330.KV1_VM23_V,yes,high,snowflake 'B330.KV1_VM23_V' (STRUX exact); STRUX 'B330.KV1_VM23_V'; excel Kallvatten roles=add|sub buildings=330/331|334
B334.KV1_VMM21,B334.KV1_VM21,B334.KV1_VM21,yes,high,snowflake 'B334.KV1_VM21' (STRUX exact); STRUX 'B334.KV1_VM21'; excel Kallvatten roles=add buildings=334
B334.KV1_VMM22_V,B334.KV1_VM22_V,B334.KV1_VM22_V,no,high,snowflake 'B334.KV1_VM22_V' (STRUX exact); STRUX 'B334.KV1_VM22_V'; not used in Excel
B334.KV1_VMM25_V,B334.KV1_VM25_V,B334.KV1_VM25_V,no,high,snowflake 'B334.KV1_VM25_V' (STRUX exact); STRUX 'B334.KV1_VM25_V'; not used in Excel
B337.KV1_VMM21_V,B337.KV1_VM21_V,B337.KV1_VM21_V,yes,high,snowflake 'B337.KV1_VM21_V' (STRUX exact); STRUX 'B337.KV1_VM21_V'; excel Kallvatten roles=add|sub buildings=311|337
B337.KV1_VMM22_V,B337.KV1_VM22_V,B337.KV1_VM22_V,yes,high,snowflake 'B337.KV1_VM22_V' (STRUX exact); STRUX 'B337.KV1_VM22_V'; excel Kallvatten roles=add buildings=337
B339.KV1_VMM23_V,B339.KV1_VM23_V,B339.KV1_VM23_V,yes,high,snowflake 'B339.KV1_VM23_V' (STRUX exact); STRUX 'B339.KV1_VM23_V'; excel Kallvatten roles=add buildings=339
B341.KV1_VMM21_V,B341.KV1_VM21_V,B341.KV1_VM21_V,yes,high,snowflake 'B341.KV1_VM21_V' (STRUX exact); STRUX 'B341.KV1_VM21_V'; excel Kallvatten roles=add buildings=341
B342.KV1_VMM21_V,B342.KV1_VM21_V,B342.KV1_VM21_V,yes,high,snowflake 'B342.KV1_VM21_V' (STRUX exact); STRUX 'B342.KV1_VM21_V'; excel Kallvatten roles=add|sub buildings=307|342
B344.KV1_VMM21_V,B344.KV1_VM21_V,B344.KV1_VM21_V,yes,high,snowflake 'B344.KV1_VM21_V' (STRUX exact); STRUX 'B344.KV1_VM21_V'; excel Kallvatten roles=add|sub buildings=307|344
B353.KV1_VMM21_V,B353.KV1_VM21_V,B353.KV1_VM21_V,yes,high,snowflake 'B353.KV1_VM21_V' (STRUX exact); STRUX 'B353.KV1_VM21_V'; excel Kallvatten roles=add|sub buildings=318|353
B381.KV1_VMM21_V,B381.KV1_VM21_V,B381.KV1_VM21_V,yes,high,snowflake 'B381.KV1_VM21_V' (STRUX exact); STRUX 'B381.KV1_VM21_V'; excel Kallvatten roles=add|sub buildings=311|381
B385.KV1_VMM21_V,B385.KV1_VM21_V,B385.KV1_VM21_V,yes,high,snowflake 'B385.KV1_VM21_V' (STRUX exact); STRUX 'B385.KV1_VM21_V'; excel Kallvatten roles=add buildings=385
B389.BRV1_VMM21,B389.BRV1_VM21,B389.BRV1_VM21,yes,high,snowflake 'B389.BRV1_VM21' (STRUX exact); STRUX 'B389.BRV1_VM21'; excel Kallvatten roles=add buildings=389
B390.KV1_VMM25_V,B390.KV1_VM25_V,B390.KV1_VM25_V,no,high,snowflake 'B390.KV1_VM25_V' (STRUX exact); STRUX 'B390.KV1_VM25_V'; not used in Excel
B392.KV1_VMM21,B392.KV1_VM21,B392.KV1_VM21,yes,high,snowflake 'B392.KV1_VM21' (STRUX exact); STRUX 'B392.KV1_VM21'; excel Kallvatten roles=add buildings=392
B392.KV1_VMM22,B392.KV1_VM22,B392.KV1_VM22,yes,high,snowflake 'B392.KV1_VM22' (STRUX exact); STRUX 'B392.KV1_VM22'; excel Kallvatten roles=add buildings=392
B409.KV1_VMM21,B409.KV1_VM21,B409.KV1_VM21,no,high,snowflake 'B409.KV1_VM21' (STRUX exact); STRUX 'B409.KV1_VM21'; not used in Excel
B420.KV1_VMM21_V,B420.KV1_VM21_V,B420.KV1_VM21_V,yes,high,snowflake 'B420.KV1_VM21_V' (STRUX exact); STRUX 'B420.KV1_VM21_V'; excel Kallvatten roles=add buildings=420
