meter_id,name,building_id,media_type_id,is_virtual_meter,identifier,valid_from,valid_to
B654.T53,654 EL meter T53,B654,EL,False,snowflake=B654.T53; strux=B654.T53,,
B659.T15,659 EL meter T15,B659,EL,False,snowflake=B659.T15; strux=B659.T15,,
B659.T28,659 EL meter T28,B659,EL,False,snowflake=B659.T28; strux=B659.T28,,
B659.T28-3-5, EL meter T28-3-5,,EL,False,snowflake=B659.T28-3-5; strux=B659.T28-3-5,,
B660.H23-1, EL meter H23-1,,EL,False,snowflake=B660.H23_1; strux=B660.H23_1,,
B660.H3-1, EL meter H3-1,,EL,False,snowflake=B660.H3_1; strux=B660.H3_1,,
B661.T34,661 EL meter T34,B661,EL,False,snowflake=B661.T34; strux=B661.T34,,
B661.T35,661 EL meter T35,B661,EL,False,snowflake=B661.T35; strux=B661.T35,,
B661.T36,661 EL meter T36,B661,EL,False,snowflake=B661.T36; strux=B661.T36,,
B661.T47,661 EL meter T47,B661,EL,False,snowflake=B661.T47; strux=B661.T47,,
B665.T42,665 EL meter T42,B665,EL,False,snowflake=B665.T42; strux=B665.T42,,
B665.T42-2-1,664 EL meter T42-2-1,B664,EL,False,snowflake=B665.T42-2-1; strux=B665.T42-2-1,,
B674.T46,674 EL meter T46,B674,EL,False,snowflake=B674.T46; strux=B674.T46,,
B821.T39-1,821 EL meter T39-1,B821,EL,False,snowflake=B821.T39-1; strux=B821.T39-1,,
B821.T39-5-1,869 EL meter T39-5-1,B869,EL,False,snowflake=B821.T39-5-1; strux=B821.T39-5-1,,
B821.T39-5-2,869 EL meter T39-5-2,B869,EL,False,snowflake=B821.T39-5-2; strux=B821.T39-5-2,,
B821.T39-5-3,869 EL meter T39-5-3,B869,EL,False,snowflake=B821.T39-5-3; strux=B821.T39-5-3,,
B821.T39-6-2,869 EL meter T39-6-2,B869,EL,False,snowflake=B821.T39-6-2; strux=B821.T39-6-2,,
B833.T43,833 EL meter T43,B833,EL,False,snowflake=B833.T43-S; strux=B833.T43-S,,
B833.T44,833 EL meter T44,B833,EL,False,snowflake=B833.T44-S; strux=B833.T44-S,,
B833.T44-6-1,834 EL meter T44-6-1,B834,EL,False,snowflake=B833.T44-6-1; strux=B833.T44-6-1,,
B841.T38,841 EL meter T38,B841,EL,False,snowflake=B841.T38; strux=B841.T38,,
B951.H3-B,921 EL meter H3-B,B921,EL,False,snowflake=951.H3-B; strux=951.H3-B,,
B951.H4-A,921 EL meter H4-A,B921,EL,False,snowflake=B951.H4-A; strux=B951.H4-A,,
B660.EL_INTAKE, EL virtual B660.EL_INTAKE,,EL,True,,,
