ID,Name,NamespaceID,SourceTypeID,TimeZoneID,Description,Signature,DisplayName
70,B616.T33-3-2,1,7,1,,19416106,B616.T33-3-2
71,B616.T33-4-2,1,7,1,,19397029,B616.T33-4-2
72,B616.T33-6-1,1,7,1,,19291085,B616.T33-6-1
73,B616.T33-6-2,1,7,1,,19466005,B616.T33-6-2
74,B611.KV1_VM21,1,8,1,,,B611.KV1_VM21
75,B611.KV1_VM22,1,8,1,,,B611.KV1_VM22
76,B611.FV1_INT_VERK,1,8,1,,,B611.FV1_INT_VERK
77,B611.VP1_INT_VERK,1,8,1,,,B611.VP1_INT_VERK
78,B611.VÅ9_INT_VERK3,1,8,1,,,B611.VÅ9_INT_VERK3
79,B611.VÅ9_INT_VERK4,1,8,1,,,B611.VÅ9_INT_VERK4
80,B611.VÅ9_INT_VERK5,1,8,1,,,B611.VÅ9_INT_VERK5
81,B611.Å1_VM71,1,8,1,,,B611.Å1_VM71
82,B611.Å1_VM72,1,8,1,,,B611.Å1_VM72
83,B612.KV1_VM21,1,8,1,,,B612.KV1_VM21
84,B612.FV1_INT_VERK,1,8,1,,,B612.FV1_INT_VERK
85,B612.VP2_INT_VERK,1,8,1,,,B612.VP2_INT_VERK
86,B612.VÅ9_INT_VERK2,1,8,1,,,B612.VÅ9_INT_VERK2
87,B612.VÅ9_INT_VERK3,1,8,1,,,B612.VÅ9_INT_VERK3
89,B614.KV1_VM21,1,8,1,,,B614.KV1_VM21
90,B614.KV1_VM22,1,8,1,,,B614.KV1_VM22
91,B614.KB1_INT_VERK,1,8,1,,,B614.KB1_INT_VERK
93,B614.VÅ9_INT_VERK,1,8,1,,,B614.VÅ9_INT_VERK
94,B614.Å1_VM71,1,8,1,,,B614.Å1_VM71
95,B614.Å1_VM72,1,8,1,,,B614.Å1_VM72
96,B616.KV1_VM21,1,8,1,,,B616.KV1_VM21
97,B616.KV1_VM22,1,8,1,,,B616.KV1_VM22
98,B616.KV1_VM23,1,8,1,,,B616.KV1_VM23
99,B616.FV1_INT_VERK,1,8,1,,,B616.FV1_INT_VERK
100,B616.VÅ9_INT_VERK2,1,8,1,,,B616.VÅ9_INT_VERK2
101,B616.VÅ9_INT_VERK3,1,8,1,,,B616.VÅ9_INT_VERK3
102,B616.VÅ9_INT_VERK4,1,8,1,,,B616.VÅ9_INT_VERK4
103,B616.Å1_VM71,1,8,1,,,B616.Å1_VM71
104,B621.KV1_VM21,1,8,1,,,B621.KV1_VM21
105,B621.FV1_INT_VERK,1,8,1,,,B621.FV1_INT_VERK
106,B621.K1_MQ4,1,8,1,,,B621.K1_MQ4
107,B621.VÅ9_INT_VERK2,1,8,1,,,B621.VÅ9_INT_VERK2
108,B621.VÅ9_INT_VERK3,1,8,1,,,B621.VÅ9_INT_VERK3
109,B621.VÅ9_MQ4,1,8,1,,,B621.VÅ9_MQ4
110,B622.Å1_VM71,1,8,1,,,B622.Å1_VM71
111,B625.KV1_VM21,1,8,1,,,B625.KV1_VM21
112,B625.FV1_INT_VERK,1,8,1,,,B625.FV1_INT_VERK
113,B625.VÅ9_INT_VERK,1,8,1,,,B625.VÅ9_INT_VERK
114,B634.KV1_VM21,1,8,1,,,B634.KV1_VM21
115,B634.KV1_VM22,1,8,1,,,B634.KV1_VM22
116,B634.FV1_INT_VERK,1,8,1,,,B634.FV1_INT_VERK
117,B634.VÅ9_INT_VERK,1,8,1,,,B634.VÅ9_INT_VERK
118,B637.KB2_INT_VERK,1,8,1,,,B637.KB2_INT_VERK
119,B637.VP1_INT_VERK,1,8,1,,,B637.VP1_INT_VERK
120,B641.KV1_VM,1,8,1,,,B641.KV1_VM
121,B642.KV1_VM21,1,8,1,,,B642.KV1_VM21
122,B642.VS1_INT_VERK,1,8,1,,,B642.VS1_INT_VERK
123,B642.Å1_INT_VERK,1,8,1,,,B642.Å1_INT_VERK
124,B643.KV1_VM21,1,8,1,,,B643.KV1_VM21
125,B643.VV1_VM22,1,8,1,,,B643.VV1_VM22
126,B643.FV1_INT_VERK,1,8,1,,,B643.FV1_INT_VERK
127,B643.VÅ9_INT_VERK2,1,8,1,,,B643.VÅ9_INT_VERK2
128,B643.Å1_VM71,1,8,1,,,B643.Å1_VM71
129,B650.FV1_INT_VERK,1,8,1,,,B650.FV1_INT_VERK
130,B652.KV1_VM21,1,8,1,,,B652.KV1_VM21
131,B653.KV1_VM21_1,1,8,1,,,B653.KV1_VM21_1
132,B653.VÅ9_INT_VERK,1,8,1,,,B653.VÅ9_INT_VERK
133,B654.KV21_VM21,1,8,1,,,B654.KV21_VM21
134,B654.VP2_INT_VERK,1,8,1,,,B654.VP2_INT_VERK
135,B654.VÅ9_INT_VERK,1,8,1,,,B654.VÅ9_INT_VERK
136,B655.KV1_VM21,1,8,1,,,B655.KV1_VM21
137,B658.KV1_VM21,1,8,1,,,B658.KV1_VM21
138,B658.KB2_INT_VERK,1,8,1,,,B658.KB2_INT_VERK
139,B658.VP1_INT_VERK,1,8,1,,,B658.VP1_INT_VERK
140,B661.KV1_VM21,1,8,1,,,B661.KV1_VM21
141,B661.KV1_VM22,1,8,1,,,B661.KV1_VM22
142,B661.KV1_VM23,1,8,1,,,B661.KV1_VM23
143,B661.KV1_VM24,1,8,1,,,B661.KV1_VM24
144,B661.VS1_INT_VERK,1,8,1,,,B661.VS1_INT_VERK
145,B674.KV1_VM21,1,8,1,,,B674.KV1_VM21
146,B674.FV1_INT_VERK,1,8,1,,,B674.FV1_INT_VERK
147,B821.KV1_VM21,1,8,1,,,B821.KV1_VM21
148,B821.KV1_VM22,1,8,1,,,B821.KV1_VM22
149,B821.FV1_INT_VERK,1,8,1,,,B821.FV1_INT_VERK
150,B833.KV1_VM21,1,8,1,,,B833.KV1_VM21
151,B833.KV1_VM22,1,8,1,,,B833.KV1_VM22
152,B833.KV1_VM23,1,8,1,,,B833.KV1_VM23
153,B833.FV1_INT_VERK,1,8,1,,,B833.FV1_INT_VERK
154,B833.VÅ9_INT_VERK,1,8,1,,,B833.VÅ9_INT_VERK
155,B833.VÅ9_INT_VERK2,1,8,1,,,B833.VÅ9_INT_VERK2
156,B833.VÅ9_INT_VERK3,1,8,1,,,B833.VÅ9_INT_VERK3
157,B833.Å1_VM71,1,8,1,,,B833.Å1_VM71
158,B834.KB1_INT_VERK,1,8,1,,,B834.KB1_INT_VERK
159,B834.VP1_INT_VERK,1,8,1,,,B834.VP1_INT_VERK
160,B841.KV1_VM21,1,8,1,,,B841.KV1_VM21
161,B841.KV1_VM22,1,8,1,,,B841.KV1_VM22
162,B841.KV1_VM23,1,8,1,,,B841.KV1_VM23
163,B841.KV1_VM24,1,8,1,,,B841.KV1_VM24
164,B841.FV1_INT_VERK,1,8,1,,,B841.FV1_INT_VERK
165,B101.Å1_VM71,1,8,1,,,B101.Å1_VM71
166,B107.VP2_VMM61,1,8,1,,,B107.VP2_VMM61
167,B108.VP2_VMM61,1,8,1,,,B108.VP2_VMM61
168,B110.KV1_VM21_2,1,8,1,,,B110.KV1_VM21_2
169,B122.KV1_VM21,1,8,1,,,B122.KV1_VM21
170,B201.KB1_Elogg,1,8,1,,,B201.KB1_Elogg
171,B202.KV1_VM21,1,8,1,,,B202.KV1_VM21
172,B202.VENT,1,8,1,,,B202.VENT
173,B202.VP1_VMM61,1,8,1,,,B202.VP1_VMM61
174,B202.VP1_VMM62,1,8,1,,,B202.VP1_VMM62
175,B202.VS1_VMM61,1,8,1,,,B202.VS1_VMM61
176,B202.VS2_VMM62,1,8,1,,,B202.VS2_VMM62
177,B203.KV1_VM21,1,8,1,,,B203.KV1_VM21
178,B203.KV1_VM22,1,8,1,,,B203.KV1_VM22
179,B203.KB1,1,8,1,,,B203.KB1
180,B203.KB5-Intverk,1,8,1,,,B203.KB5-Intverk
181,B203.VP1_VMM1,1,8,1,,,B203.VP1_VMM1
182,B203.VP1_VMM2,1,8,1,,,B203.VP1_VMM2
183,B203.VP1_VMM61,1,8,1,,,B203.VP1_VMM61
184,B203.Å1_VM71,1,8,1,,,B203.Å1_VM71
185,B203.Å1_VM72,1,8,1,,,B203.Å1_VM72
186,B204.KV1_VM21,1,8,1,,,B204.KV1_VM21
187,B204.KV1_VM24,1,8,1,,,B204.KV1_VM24
188,B207.VENT,1,8,1,,,B207.VENT
189,B209.KB1,1,8,1,,,B209.KB1
190,B209.KB4_VMM51,1,8,1,,,B209.KB4_VMM51
191,B209.KB6,1,8,1,,,B209.KB6
192,B209.KB6_VMM51,1,8,1,,,B209.KB6_VMM51
193,B209.VMM1,1,8,1,,,B209.VMM1
194,B212.V2_VM51,1,8,1,,,B212.V2_VM51
195,B212.KB5,1,8,1,,,B212.KB5
196,B216.KV1_VM21,1,8,1,,,B216.KV1_VM21
197,B216.KV1_VM22,1,8,1,,,B216.KV1_VM22
198,B216.KB1,1,8,1,,,B216.KB1
199,B216.VENT,1,8,1,,,B216.VENT
200,B217.KV1_VM21,1,8,1,,,B217.KV1_VM21
201,B217.KV1_VM22,1,8,1,,,B217.KV1_VM22
202,B217.VV1_VM21,1,8,1,,,B217.VV1_VM21
203,B217.KB1,1,8,1,,,B217.KB1
204,B229.V2_VM51,1,8,1,,,B229.V2_VM51
205,B230.V2_VM51,1,8,1,,,B230.V2_VM51
206,B304.KB1,1,8,1,,,B304.KB1
207,B304.KB2,1,8,1,,,B304.KB2
208,B305.KB1,1,8,1,,,B305.KB1
209,B305.Å1_VM71,1,8,1,,,B305.Å1_VM71
210,B307.KB1,1,8,1,,,B307.KB1
211,B307.Å1_VM71_MWh_Elogg,1,8,1,,,B307.Å1_VM71_MWh_Elogg
212,B307.Å1_VM72,1,8,1,,,B307.Å1_VM72
213,B308.KV1_VM21,1,8,1,,,B308.KV1_VM21
214,B308.KV1_VM22,1,8,1,,,B308.KV1_VM22
215,B308.KV1_VM23,1,8,1,,,B308.KV1_VM23
216,B308.KB1,1,8,1,,,B308.KB1
217,B308.Å1_VM70,1,8,1,,,B308.Å1_VM70
218,B308.Å1_VM71,1,8,1,,,B308.Å1_VM71
219,B310.KV1_VM21,1,8,1,,,B310.KV1_VM21
220,B310.V2_GF4_1,1,8,1,,,B310.V2_GF4_1
221,B310.VP1_VMM61,1,8,1,,,B310.VP1_VMM61
222,B310.VP1_VMM62,1,8,1,,,B310.VP1_VMM62
223,B310.VP1_VMM63,1,8,1,,,B310.VP1_VMM63
224,B310.VP1_VMM64,1,8,1,,,B310.VP1_VMM64
225,B310.Å6_GF4_1,1,8,1,,,B310.Å6_GF4_1
226,B311.KV1_VM21,1,8,1,,,B311.KV1_VM21
227,B311.Å1_VM71,1,8,1,,,B311.Å1_VM71
228,B312.KB1,1,8,1,,,B312.KB1
229,B312.VP2_VMM61,1,8,1,,,B312.VP2_VMM61
230,B312.VP2_VMM62,1,8,1,,,B312.VP2_VMM62
231,B318.KV1_VM21,1,8,1,,,B318.KV1_VM21
232,B318.KB1,1,8,1,,,B318.KB1
233,B325.KV1_VM21,1,8,1,,,B325.KV1_VM21
234,B325.KV1_VM22,1,8,1,,,B325.KV1_VM22
235,B325.V2_GF4_1,1,8,1,,,B325.V2_GF4_1
236,B327.KB1,1,8,1,,,B327.KB1
237,B330.V2_GF4_1,1,8,1,,,B330.V2_GF4_1
238,B330.VP1_VMM1,1,8,1,,,B330.VP1_VMM1
240,B334.KV1_VM21,1,8,1,,,B334.KV1_VM21
241,B334.V2_GF4_1,1,8,1,,,B334.V2_GF4_1
242,B334.Å1_VM70,1,8,1,,,B334.Å1_VM70
243,B336.V2_GF4,1,8,1,,,B336.V2_GF4
244,B336.KB1,1,8,1,,,B336.KB1
245,B336.VP1_VMM1,1,8,1,,,B336.VP1_VMM1
246,B336.Å6_VM71,1,8,1,,,B336.Å6_VM71
247,B337.KV1_VM21_1,1,8,1,,,B337.KV1_VM21_1
248,B337.KV1_VM21_2,1,8,1,,,B337.KV1_VM21_2
249,B337.V2_GF4_1,1,8,1,,,B337.V2_GF4_1
250,B337.Å12_VM70,1,8,1,,,B337.Å12_VM70
251,B339.KV1_VM21_1,1,8,1,,,B339.KV1_VM21_1
252,B339.KV1_VM21_2,1,8,1,,,B339.KV1_VM21_2
253,B339.V2_GF3_3,1,8,1,,,B339.V2_GF3_3
254,B339.V2_GF3_4,1,8,1,,,B339.V2_GF3_4
255,B339.V2_GF4,1,8,1,,,B339.V2_GF4
256,B339.V2_GF4_1,1,8,1,,,B339.V2_GF4_1
257,B339.KB1_KOLF,1,8,1,,,B339.KB1_KOLF
258,B339.KB1_VVS,1,8,1,,,B339.KB1_VVS
259,B339.Å1_VM70,1,8,1,,,B339.Å1_VM70
260,B339.Å1_VM71,1,8,1,,,B339.Å1_VM71
261,B339.Å2_VM70,1,8,1,,,B339.Å2_VM70
262,B341.KV1_VM21,1,8,1,,,B341.KV1_VM21
263,B341.KB1,1,8,1,,,B341.KB1
264,B341.VP1_VMM1,1,8,1,,,B341.VP1_VMM1
265,B341.Å1_VM70,1,8,1,,,B341.Å1_VM70
266,B385.VP2_VMM61,1,8,1,,,B385.VP2_VMM61
267,B409.KV1_GF4_1,1,8,1,,,B409.KV1_GF4_1
268,B409.KV1_GF4_2,1,8,1,,,B409.KV1_GF4_2
269,B409.KV1_VM21,1,8,1,,,B409.KV1_VM21
270,B409.V2_GF4,1,8,1,,,B409.V2_GF4
271,Utetemp.GT3U,1,8,1,,,Utetemp.GT3U
272,B621.B621-T5-S,1,5,1,,ME-1911C775-02,B621.T5
273,B621.B621-T6-S,1,5,1,,ME-1911C555-02,B621.T6
274,B621.T5-2-5,1,7,1,,18461209,B621.T5-2-5
275,B621.T29-S,1,5,1,,ME-1911C578-02,B621.T29
276,B621.T5-3-4,1,7,1,,18461170,B621.T5-3-4
277,B621.T6-2-5,1,7,1,,18461113,B621.T6-2-5
278,B621.T6-3-1,1,7,1,,18461233,B621.T6-3-1
279,B621.T30-S,1,5,1,,ME-1911C651-02,B621.T30
280,B625.T16-S,1,5,1,,ME-1911C774-02,B625.T16
281,B625.T50-S,1,5,1,,ME-1911C725-02,B625.T50
282,B641.T8-A3,1,5,1,,ME-1804A726-02,B641.T8-A3
283,B652.T8-A3-A14-112,1,7,1,,18461051,B652.T8-A3-A14-112
284,B833.T43-S,1,5,1,,ME-1910A427-02,B833.T43
285,B833.T44-S,1,5,1,,ME-1911C481-02,B833.T44
286,B821.T39-1,1,5,1,,ME-1911C763-02,B821.T39-1
287,B833.T43-5-3,1,7,1,,18461159,B833.T43-5-3
288,B833.T44-5-3,1,7,1,,18461226,B833.T44-5-3
289,B833.T44-6-4,1,7,1,,18461167,B833.T44-6-4
290,B833.T44-6-5,1,7,1,,18461139,B833.T44-6-5
291,B834.T44-6-1,1,7,1,,18461140,B834.T44-6-1
292,B821.T39-4-3,1,7,1,,18461175,B821.T39-4-3
293,B821.T39-5-1,1,7,1,,18461018,B821.T39-5-1
294,B821.T39-5-2,1,7,1,,19291204,B821.T39-5-2
295,B821.T39-5-3,1,7,1,,18461153,B821.T39-5-3
296,B821.T39-5-4,1,7,1,,18461179,B821.T39-5-4
297,B821.T39-6-2,1,7,1,,18461228,B821.T39-6-2
298,B821.T39-6-3,1,7,1,,18461213,B821.T39-6-3
299,B821.T39-7-1,1,9,1,,4E35B450,B821.T39-7-1
300,B821.T39-7-3,1,9,1,,4E359714,B821.T39-7-3
301,B821.T39-7-2,1,9,1,,4E35B43B,B821.T39-7-2
302,B821.T39-7-4,1,9,1,,4E35970A,B821.T39-7-4
303,B821.T39-7-5,1,9,1,,4E35B3FE,B821.T39-7-5
304,B821.T39-6-5,1,7,1,,20113215,B821.T39-6-5
305,B325.T12,1,5,1,,ME-1911C618-02,B325.T12
306,B325.T13,1,5,1,,ME-1911C549-02,B325.T13
307,B324.T14,1,5,1,,ME-1911C758-02,B324.T14
308,B324.T14-4-5,1,7,1,,18461100,B324.T14-4-5
309,B324.T14-4-1,1,7,1,,18461116,B324.T14-4-1
310,B324.T14-4-2,1,7,1,,18461068,B324.T14-4-2
311,B324.T14-4-3,1,7,1,,18461102,B324.T14-4-3
312,B324.T14-6-1,1,7,1,,18461074,B324.T14-6-1
313,B324.T14-6-3,1,7,1,,18461096,B324.T14-6-3
314,B324.T14-6-4,1,7,1,,18461032,B324.T14-6-4
315,B325.T12-3-3,1,7,1,,18461089,B325.T12-3-3
316,B325.T12-3-4,1,7,1,,18461078,B325.T12-3-4
317,B325.T13-5-3,1,7,1,,18425126,B325.T12-5-3
318,B325.T13-5-6,1,7,1,,18461117,B325.T12-5-6
319,B325.T13-6-3,1,7,1,,18461070,B325.T12-6-3
320,B325.T12-6-4,1,7,1,,18461099,B325.T12-6-4
321,B325.T13-3-4,1,7,1,,18461073,B325.T13-3-4
322,B325.T13-3-5,1,7,1,,18461110,B325.T13-3-5
323,B325.T13-3-6,1,7,1,,18461085,B325.T13-5-6
324,B325.T13-6-3~49850,1,7,1,,18461075,B325.T13-6-3
325,B325.T13-6-6,1,7,1,,18461069,B325.T13-6-6
326,B325.T13-6-7,1,7,1,,18461103,B325.T13-6-7
327,B643.T37,1,5,1,,ME-1911C779-02,B643.T37
328,B643.T40,1,5,1,,ME-1911C710-02,B643.T40
329,B643.T37-2-1,1,10,1,,16175163,B643.T37-2-1
330,B625.BRV1_VM21,1,8,1,,,B625.BRV1_VM21
331,B611.VÅ9_INT_VERK2,1,8,1,,,B611.VÅ9_INT_VERK2
332,B612.VÅ9_INT_VERK,1,8,1,,,B612.VÅ9_INT_VERK
333,B614.VP1_INT_VERK,1,8,1,,,B614.VP1_INT_VERK
334,B616.VÅ9_INT_VERK,1,8,1,,,B616.VÅ9_INT_VERK
335,B621.VÅ9_INT_VERK,1,8,1,,,B621.VÅ9_INT_VERK
336,B643.VÅ9_INT_VERK,1,8,1,,,B643.VÅ9_INT_VERK
337,B841.KB2_VM51,1,8,1,,,B841.KB2_VM51
338,B217.KV1_VM001,1,8,1,,,B217.KV1_VM001
339,B217.KV1_VM002,1,8,1,,,B217.KV1_VM002
340,B330.T30,1,5,1,,ME-1909C280-02,B330.T30
341,B330.T36,1,5,1,,ME-1911C777-02,B330.T36
342,B330.T37,1,5,1,,ME-1909C284-02,B330.T37
343,B330.T64,1,5,1,,ME-1909C281-02,B330.T64
344,B330.T65,1,5,1,,ME-1911C716-02,B330.T65
345,B330.T36-4-5,1,7,1,,18461019,B330.T36-4-5
346,B330.T37-3-5,1,7,1,,18461080,B330.T37-3-5
347,B330.T37-5-1,1,7,1,,18461077,B330.T37-5-1
348,B330.T37-5-2,1,7,1,,18461059,B330.T37-5-2
349,B330.T64-5-1,1,6,1,,,B330.T64-5-1
350,B330.T65-4-3,1,7,1,,18461082,B330.T65-4-3
351,B330.T65-5-6,1,7,1,,18461097,B330.T65-5-6
352,B330.T65-5-7,1,7,1,,18461046,B330.T65-5-7
353,B311.T29,1,5,1,,ME-1909C287-02,B311.T29
354,B311.T56,1,5,1,,ME-1911C785-02,B311.T56
355,B311.T56-4-7,1,7,1,,18425166,B311.T56-4-7
356,B342.T67,1,5,1,,ME-1909C278-02,B342.T67
357,B342.T66,1,5,1,,ME-1909C277-02,B342.T66
358,B641.KV1_VM21,1,8,1,,,B641.KV1_VM21
359,B650.KV1_VM21,1,8,1,,,B650.KV1_VM21
360,B653.KV1_VM21_2,1,8,1,,,B653.KV1_VM21_2
361,B674.VÅ9_GF41,1,8,1,,,B674.VÅ9_GF41
362,B674.VÅ9_GF42,1,8,1,,,B674.VÅ9_GF42
363,B674.VÅ9_GF43,1,8,1,,,B674.VÅ9_GF43
364,B661.T34,1,5,1,,ME-1911C693-02,B661.T34
365,B661.T36,1,5,1,,ME-1911C707-02,B661.T36
366,B661.T35,1,5,1,,ME-1911C713-02,B661.T35
367,B661.T47,1,5,1,,ME-1911C699-02,B661.T47
368,B339.T77-1,1,5,1,,ME-1911C493-02,B339.T77-1
369,B339.T71-1,1,5,1,,ME-1911C621-02,B339.T71-1
370,B339.T72-1,1,5,1,,ME-1911C614-02,B339.T72-1
371,B339.T74-1,1,5,1,,ME-1911C757-02,B339.T74-1
372,B339.T76-1,1,5,1,,ME-1911C485-02,B339.T76-1
373,B339.T75-1,1,5,1,,ME-1911C756-02,B339.T75-1
374,B339.T78-1,1,5,1,,ME-1911C354-02,B339.T78-1
375,B339.T73-1,1,5,1,,ME-1911C619-02,B339.T73-1
376,B339.T78-5,1,5,1,,ME-1911C639-02,B339.T78-5
377,B209.T21-1,1,5,1,,ME-1911C620-02,B209.T21
378,B209.T32-1,1,5,1,,ME-1911C747-02,B209.T32
379,B337.T43,1,5,1,,ME-1911C491-02,B337.T43
380,B337.T44,1,5,1,,ME-1911C488-02,B337.T44
381,B207.T95,1,5,1,,ME-1911C778-02,B207.T95
382,B207.T94,1,5,1,,ME-1911C461-02,B207.T94
383,B308.T58,1,5,1,,ME-1911C623-02,B308.T58
384,B308.T57,1,5,1,,ME-1911C490-02,B308.T57
385,B307.T10-1,1,5,1,,ME-1911C451-02,B307.T10-1
386,B307.T10-4,1,5,1,,ME-1911C495-02,B307.T10-4
387,B307.T11-5,1,5,1,,ME-1911C434-02,B307.T11-5
388,B307.T11-1,1,5,1,,ME-1909B363-02,B307.T11-1
389,B308.T59,1,5,1,,ME-1909B362-02,B308.T59
390,B612.T7-A2-257,1,7,1,,18461184,B612.T7-A2-257
391,B328.T19-1,1,5,1,,ME-1911C483-02,B328.T19-1
392,B328.T20-1,1,5,1,,ME-1911C497-02,B328.T20-1
393,B660.H23_1,1,4,1,,MZ-1812A090-01,B660.H23-1
394,B653.T54,1,5,1,,ME-1911C625-02,B653.T54
395,B653.T17,1,5,1,,ME-1911C626-02,B653.T17
396,B653.T55,1,5,1,,ME-1910A438-02,B653.T55
397,B654.T26,1,5,1,,ME-1911C759-02,B654.T26
398,B654.T27,1,5,1,,ME-1804A695-02,B654.T27
399,B654.T53,1,5,1,,ME-1911C480-02,B654.T53
400,B659.T15,1,5,1,,ME-1910A436-02,B659.T15
401,B659.T28,1,5,1,,ME-1911C704-02,B659.T28
402,B652.T14-B3-J,1,11,1,,19036108,B652.T14-B3-J
403,B634.T51,1,5,1,,ME-1911C617-02,B634.T51
404,B634.T52,1,5,1,,ME-1911C575-02,B634.T52
405,B654.T25,1,5,1,,ME-1911C736-02,B654.T25
406,B660.H2_1,1,4,1,,MZ-1812A099-01,B665.H2
407,B665.T42,1,5,1,,ME-1911C492-02,B665.T42
408,B650.T23,1,5,1,,ME-1911C705-02,B650.T23
409,B650.T24,1,5,1,,ME-1911C646-02,B650.T24
410,B841.T38,1,5,1,,ME-1911C761-02,B841.T38
411,B311.T29-6-5,1,6,1,,,B311.T29-6-5
412,B311.T45-4-1,1,6,1,,,B311.T56-4-1
413,B311.T56-4-2,1,6,1,,,B311.T56-4-2
414,B330.T64-5-3,1,6,1,,,B330.T64-5-3
415,B330.T65-4-1,1,6,1,,,B330.T65-4-1
416,B616.T31-6-1,1,6,1,,,B616.T31-6-1
417,B616.T31-6-2,1,7,1,,18461026,B616.T31-6-2
418,B650.T23-A1,1,7,1,,20113243,B650.T23-A1
419,B650.T23-C5,1,7,1,,18461204,B650.T23-C5
